#,LINEARobjectID,LCtype,P,A,stdev,rms,Lchi2pdf,nObs,skew,kurt,CUF
,2522,5,0.238812,0.68,0.22,0.25,0.543,225,0.75,0.11,1
,4822,5,0.403043,0.32,0.11,0.12,2.102,126,0.46,-0.89,1
,17249,5,0.252815,0.57,0.18,0.19,0.876,178,1.16,0.44,1
,18469,5,0.428962,0.46,0.16,0.2,2.501,200,0.7,-0.59,1
,28800,5,0.332774,0.28,0.11,0.11,1.214,240,1.84,7.94,1
,29848,1,0.557009,0.62,0.21,0.26,1.223,301,-0.31,-0.57,1
,31825,1,0.463628,0.79,0.25,0.27,0.834,289,-0.25,-0.12,1
,32086,1,0.569258,0.71,0.22,0.29,2.369,289,-0.49,-1.0,1
,41937,5,0.261539,0.42,0.14,0.17,1.052,252,0.4,-0.77,1
,43542,1,0.245818,0.6,0.18,0.22,1.167,245,-0.05,-0.45,3
,44914,5,0.236603,0.66,0.22,0.25,2.22,258,0.86,-0.47,1
,45831,4,0.645294,0.34,0.12,0.13,1.844,195,1.28,0.78,2
,50402,1,0.643293,0.49,0.15,0.18,0.78,284,-0.29,-0.88,2
,51570,5,0.629213,0.56,0.21,0.15,1.576,254,3.93,29.28,1
,51934,5,0.244835,0.67,0.23,0.3,1.153,227,0.65,-0.73,1
,56340,5,0.324801,0.4,0.13,0.16,0.731,275,0.73,-0.37,1
,60758,5,0.295669,0.41,0.14,0.17,0.63,295,0.53,-0.37,1
,61011,1,0.662369,0.7,0.23,0.3,2.858,274,-0.03,-1.06,1
,62217,5,0.253626,0.54,0.19,0.23,1.341,266,1.16,2.6,1
,62758,5,0.418112,0.63,0.19,0.19,1.086,276,1.37,1.28,1
,62892,1,0.530772,0.62,0.2,0.24,1.081,276,-0.55,-0.32,1
,71063,5,0.437878,0.47,0.16,0.2,1.819,215,0.64,-0.87,1
,74545,5,0.344574,0.41,0.13,0.16,1.46,192,0.72,-0.69,1
,89711,4,0.551155,0.49,0.16,0.16,0.507,254,1.57,2.86,1
,91437,1,0.674728,0.75,0.23,0.27,1.993,177,-0.12,-0.93,1
,92599,5,0.359635,0.44,0.13,0.15,2.114,162,0.39,-0.82,1
,92986,4,0.664411,0.3,0.12,0.06,1.464,289,3.69,14.56,2
,95250,2,0.313869,0.55,0.18,0.22,0.732,222,0.14,-0.65,1
,98679,4,0.221872,0.38,0.12,0.1,0.91,300,2.85,12.18,1
,104455,1,0.558518,0.86,0.26,0.24,0.663,119,-0.34,-0.13,1
,105039,1,0.608458,0.84,0.27,0.34,2.589,276,-0.78,-0.67,1
,108513,1,0.473809,0.85,0.26,0.21,1.433,282,-1.17,1.16,2
,110206,4,0.516572,0.94,0.29,0.16,0.854,242,1.87,4.31,1
,110587,5,0.383937,0.32,0.11,0.12,0.6,273,0.91,2.41,1
,114416,5,0.307679,0.49,0.16,0.19,0.966,279,0.83,0.01,1
